"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Cauvery Basin","Cauvery Middle","2023-07-21","2023","07","1.9428150399","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-22","2023","07","2.5740701048","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-23","2023","07","6.0735013871","IMD GRID MODEL"
"Cauvery Basin","Cauvery Middle","2023-07-01","2023","07","0.8803085336","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-02","2023","07","1.2579369083","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-03","2023","07","2.9252297324","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-04","2023","07","3.0809681289","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-05","2023","07","8.0227825245","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-06","2023","07","13.8591697005","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-07","2023","07","18.0143988232","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-08","2023","07","9.5904189251","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-09","2023","07","8.2845385487","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-10","2023","07","1.7555098537","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-11","2023","07","1.4103605999","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-13","2023","07","3.2518251981","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-12","2023","07","2.4721100954","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-15","2023","07","1.890123691","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-14","2023","07","2.1164279896","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-16","2023","07","2.746108683","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-17","2023","07","4.2659688959","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-20","2023","07","15.3016506486","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-18","2023","07","4.6403125599","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-19","2023","07","7.7493715383","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-21","2023","07","10.3946689783","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-22","2023","07","15.5979169393","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-23","2023","07","24.756289944","IMD GRID MODEL"
"Cauvery Basin","Cauvery Upper","2023-07-01","2023","07","3.39899401","IMD GRID MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-07-02","2023","07","0.0596067357","IMD GRID MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-07-03","2023","07","0.0987872014","IMD GRID MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-07-04","2023","07","6.8255987675","IMD GRID MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-07-05","2023","07","19.0410665367","IMD GRID MODEL"
"East flowing rivers between Mahanadi and Pennar Basin","East flowing rivers between Godavari and krishna","2023-07-06","2023","07","18.263483341","IMD GRID MODEL"
